DelayMinutes,Distance,ScheduledDuration,DepartureHour,DepartureDay,DepartureMonth,IsWeekend,Airline_Encoded,Origin_Encoded,Destination_Encoded,AircraftType_Encoded
8,-0.6232164861955535,1.4948213353787183,-0.5019479529938905,6,9,1,3,4,2,1
2,-0.6530015319025552,1.2340140047765211,-0.21297131286982968,6,9,1,1,3,2,0
14,1.6988256771222974,-1.586568978032426,0.6539586075023528,6,9,1,2,1,4,1
0,-0.17405799693396823,-1.557590385743293,0.36498196737829197,6,9,1,1,4,0,2
24,0.8862896302352915,1.0118447972265012,-1.5133661934281033,6,9,1,1,3,3,1
0,-0.2002688371561297,0.036232190159023056,-1.0799012332420121,6,9,1,2,3,1,2
7,0.1428548893885296,1.1567377586721663,-0.9354129131799817,6,9,1,2,4,1,2
24,1.640446987536574,0.2487418669459985,-1.368877873366073,6,9,1,2,1,2,2
2,0.9327543015382141,1.5817571122461174,-1.6578545134901337,6,9,1,0,4,2,0
25,-1.130753665042862,-0.4757229402823269,-0.21297131286982968,6,9,1,2,3,0,2
0,1.5415606357893283,-1.1422305629323863,1.2319118877504744,6,9,1,0,2,2,0
30,-1.695478131647614,1.4465236815634965,1.087423567688444,6,9,1,0,1,0,0
3,-0.7304426507407595,-0.5529991863866817,-0.9354129131799817,6,9,1,3,1,4,1
13,-0.8257547970031649,-1.5672499165063372,-0.6464362730559209,6,9,1,3,0,3,0
26,-1.2582336606688294,0.9442280818851909,0.22049364731626153,6,9,1,1,4,4,2
0,-1.4012018800624373,0.6254635667047277,1.2319118877504744,6,9,1,0,3,4,0
17,0.7993172967708466,0.6351230974677721,0.6539586075023528,6,9,1,3,3,2,0
0,-1.0163790895279756,1.3885664969852305,-1.2243895533040425,6,9,1,3,2,3,0
26,0.8505475753868895,-0.23423467120621844,-1.5133661934281033,6,9,1,0,2,0,0
16,1.6976342752940172,-0.10866077128664203,1.6653768479365656,6,9,1,1,3,3,1
25,0.5789079585390342,-0.9393804169084552,0.5094702874403223,6,9,1,0,3,3,0
29,-0.6172594770541532,-0.8234660477519231,0.22049364731626153,6,9,1,0,3,3,0
