FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
1,United,4558,ORD,MIA,09/01/2024 08:11,9/1/2024 8:30,09/01/2024 14:45,9/1/2024 12:19,8,Weather,True,False,Boeing 737,N71066,1031
2,Delta,8021,LAX,MIA,09/01/2024 10:25,9/1/2024 10:41,09/01/2024 16:32,9/1/2024 13:27,2,Air Traffic Control,True,True,Airbus A320,N22657,1006
3,Southwest,7520,DFW,SFO,09/01/2024 16:53,9/1/2024 17:05,09/01/2024 18:08,9/1/2024 18:07,14,Weather,True,True,Boeing 737,N95611,2980
4,Delta,2046,ORD,BOS,09/01/2024 14:44,9/1/2024 15:04,09/01/2024 16:02,9/1/2024 18:34,-10,,False,False,Boeing 777,N90029,1408
5,Delta,6049,LAX,SEA,09/01/2024 01:51,9/1/2024 2:08,09/01/2024 07:35,9/1/2024 6:15,24,Air Traffic Control,False,True,Boeing 737,N27417,2298
6,Southwest,6311,LAX,JFK,09/01/2024 04:00,9/1/2024 4:12,09/01/2024 08:03,9/1/2024 4:55,-5,,False,False,Boeing 777,N92652,1386
7,Southwest,4188,ORD,JFK,09/01/2024 05:47,9/1/2024 6:02,09/01/2024 11:46,9/1/2024 10:54,7,Weather,False,True,Boeing 777,N25382,1674
8,Southwest,3179,DFW,MIA,09/01/2024 02:23,9/1/2024 2:49,09/01/2024 06:48,9/1/2024 6:47,24,Weather,False,True,Boeing 777,N65410,2931
9,American Airlines,3613,ORD,MIA,09/01/2024 00:02,9/1/2024 0:29,09/01/2024 06:45,9/1/2024 2:04,2,Weather,False,False,Airbus A320,N45570,2337
10,Southwest,2186,LAX,BOS,09/01/2024 10:14,9/1/2024 10:39,09/01/2024 13:24,9/1/2024 14:39,25,Maintenance,True,False,Boeing 777,N15724,605
11,American Airlines,9317,JFK,MIA,09/01/2024 20:57,9/1/2024 21:19,09/01/2024 22:58,9/1/2024 21:51,-6,,True,True,Airbus A320,N54905,2848
12,American Airlines,5251,DFW,BOS,09/01/2024 19:18,9/1/2024 19:41,09/02/2024 01:47,9/1/2024 21:48,30,Weather,False,False,Airbus A320,N94983,131
13,United,9966,DFW,SFO,09/01/2024 05:33,9/1/2024 5:58,09/01/2024 08:35,9/1/2024 10:36,3,Maintenance,False,False,Boeing 737,N35156,941
14,United,598,ATL,SEA,09/01/2024 07:30,9/1/2024 7:31,09/01/2024 08:47,9/1/2024 13:43,13,Air Traffic Control,False,True,Airbus A320,N54164,861
15,Delta,2478,ORD,SFO,09/01/2024 13:54,9/1/2024 14:05,09/01/2024 19:31,9/1/2024 19:20,26,Weather,False,True,Boeing 777,N88239,498
16,American Airlines,9486,LAX,SFO,09/01/2024 20:22,9/1/2024 20:42,09/02/2024 01:26,9/2/2024 2:13,-9,,False,False,Airbus A320,N34736,378
17,United,2978,LAX,MIA,09/01/2024 16:23,9/1/2024 16:48,09/01/2024 21:28,9/1/2024 19:40,17,Weather,False,False,Airbus A320,N16364,2225
18,United,2966,JFK,SEA,09/01/2024 03:04,9/1/2024 3:11,09/01/2024 09:27,9/1/2024 3:54,-10,,True,False,Airbus A320,N26442,701
19,American Airlines,390,JFK,BOS,09/01/2024 01:52,9/1/2024 2:03,09/01/2024 05:27,9/1/2024 8:18,26,Weather,True,True,Airbus A320,N65966,2268
20,Delta,6494,LAX,SEA,09/01/2024 23:17,9/1/2024 23:37,09/02/2024 03:05,9/2/2024 4:33,16,Air Traffic Control,True,True,Boeing 737,N68251,2979
21,American Airlines,8646,LAX,SEA,09/01/2024 15:45,9/1/2024 15:51,09/01/2024 18:07,9/1/2024 21:10,25,Maintenance,True,True,Airbus A320,N24417,2040
22,American Airlines,9470,LAX,SEA,09/01/2024 13:03,9/1/2024 13:09,09/01/2024 15:37,9/1/2024 18:32,29,Maintenance,False,False,Airbus A320,N44604,1036
23,Delta,9464,LAX,MIA,09/01/2024 23:26,9/1/2024 23:55,09/02/2024 01:51,9/2/2024 1:51,25,Maintenance,False,False,Airbus A320,N75482,2121
24,Delta,8277,JFK,JFK,09/01/2024 01:27,9/1/2024 1:40,09/01/2024 05:25,9/1/2024 2:53,26,Maintenance,True,False,Boeing 737,N40985,2198
25,Southwest,5668,ATL,SEA,09/01/2024 11:12,9/1/2024 11:27,09/01/2024 12:35,9/1/2024 17:33,21,Weather,False,True,Airbus A320,N48050,825
26,Delta,5396,JFK,SFO,09/01/2024 08:33,9/1/2024 9:01,09/01/2024 12:14,9/1/2024 9:59,26,Air Traffic Control,True,True,Boeing 737,N26788,2780
27,Delta,6219,ATL,SEA,09/01/2024 12:08,9/1/2024 12:09,09/01/2024 14:32,9/1/2024 18:31,23,Maintenance,True,False,Boeing 777,N14210,1005
28,Delta,6347,LAX,JFK,09/01/2024 22:55,9/1/2024 23:15,09/02/2024 03:11,9/2/2024 3:59,4,Maintenance,True,True,Boeing 777,N79992,2511
29,Southwest,4116,ORD,JFK,09/01/2024 04:30,9/1/2024 4:47,09/01/2024 07:27,9/1/2024 7:43,13,Maintenance,False,True,Airbus A320,N23616,1788
30,Southwest,3107,DFW,BOS,09/01/2024 02:26,9/1/2024 2:47,09/01/2024 08:05,9/1/2024 4:55,29,Weather,False,True,Boeing 777,N32106,2906
31,United,7143,ATL,SEA,09/01/2024 04:39,9/1/2024 4:54,09/01/2024 09:19,9/1/2024 6:49,10,Weather,False,False,Airbus A320,N25047,241
32,American Airlines,7744,ORD,JFK,09/01/2024 13:01,9/1/2024 13:06,09/01/2024 16:14,9/1/2024 19:29,28,Air Traffic Control,True,True,Boeing 777,N10935,2587
33,American Airlines,2737,ATL,MIA,09/01/2024 21:12,9/1/2024 21:42,09/01/2024 23:55,9/2/2024 2:03,-9,,True,True,Boeing 737,N80815,1707
34,Delta,5581,ORD,JFK,09/01/2024 09:00,9/1/2024 9:24,09/01/2024 12:29,9/1/2024 10:12,12,Air Traffic Control,False,False,Boeing 777,N63330,1554
35,Delta,3443,DFW,SEA,09/01/2024 00:39,9/1/2024 0:40,09/01/2024 05:52,9/1/2024 2:04,25,Weather,False,True,Boeing 777,N75791,2538
36,American Airlines,8754,ATL,MIA,09/01/2024 23:51,9/1/2024 23:53,09/02/2024 05:52,9/2/2024 3:14,23,Maintenance,True,True,Boeing 737,N70925,2288
37,American Airlines,6016,DFW,JFK,09/01/2024 22:17,9/1/2024 22:19,09/02/2024 03:53,9/2/2024 0:20,3,Weather,True,False,Airbus A320,N58889,608
38,United,2482,ATL,JFK,09/01/2024 02:00,9/1/2024 2:27,09/01/2024 08:08,9/1/2024 6:18,18,Weather,True,False,Boeing 777,N95927,1919
39,American Airlines,3560,JFK,SEA,09/01/2024 09:51,9/1/2024 10:20,09/01/2024 15:23,9/1/2024 16:18,27,Air Traffic Control,False,False,Boeing 737,N67921,2581
40,United,1420,JFK,SEA,09/01/2024 08:19,9/1/2024 8:28,09/01/2024 14:02,9/1/2024 13:31,12,Maintenance,False,False,Boeing 777,N28199,2233
41,Southwest,1544,DFW,BOS,09/01/2024 14:47,9/1/2024 14:54,09/01/2024 19:43,9/1/2024 17:56,9,Air Traffic Control,False,False,Boeing 737,N18579,796
42,Delta,3532,JFK,BOS,09/01/2024 23:44,9/1/2024 23:45,09/02/2024 05:10,9/2/2024 1:47,3,Weather,False,True,Boeing 737,N33442,1667
43,Delta,7221,JFK,MIA,09/01/2024 11:35,9/1/2024 11:57,09/01/2024 16:27,9/1/2024 15:43,8,Air Traffic Control,True,True,Boeing 777,N86229,568
44,United,8577,ORD,JFK,09/01/2024 08:33,9/1/2024 8:39,09/01/2024 14:29,9/1/2024 11:27,-6,,False,False,Boeing 737,N79176,226
45,Southwest,3415,JFK,BOS,09/01/2024 09:04,9/1/2024 9:04,09/01/2024 13:02,9/1/2024 11:29,25,Air Traffic Control,True,True,Airbus A320,N65253,1107
46,Delta,4537,LAX,SFO,09/01/2024 21:36,9/1/2024 21:53,09/02/2024 03:56,9/1/2024 22:49,13,Maintenance,False,False,Boeing 777,N46361,230
47,American Airlines,3984,ORD,SFO,09/01/2024 05:43,9/1/2024 5:45,09/01/2024 08:52,9/1/2024 7:08,25,Air Traffic Control,False,True,Boeing 777,N44407,2645
48,Delta,67,JFK,SFO,09/01/2024 00:12,9/1/2024 0:20,09/01/2024 07:02,9/1/2024 2:10,-2,,True,False,Boeing 737,N63165,2395
49,Southwest,5207,ORD,SFO,09/01/2024 03:35,9/1/2024 3:58,09/01/2024 07:24,9/1/2024 6:54,19,Air Traffic Control,False,False,Boeing 737,N52463,1865
50,Southwest,2689,JFK,MIA,09/01/2024 15:30,9/1/2024 15:38,09/01/2024 21:27,9/1/2024 16:30,0,,False,True,Boeing 777,N88347,666
51,Delta,6843,DFW,SFO,09/01/2024 09:58,9/1/2024 9:59,09/01/2024 16:45,9/1/2024 10:57,-1,,False,True,Boeing 737,N60865,609
52,Southwest,6362,JFK,SEA,09/01/2024 10:48,9/1/2024 11:17,09/01/2024 15:04,9/1/2024 13:52,4,Air Traffic Control,True,True,Boeing 777,N27667,1390
53,American Airlines,1092,ORD,BOS,09/01/2024 05:48,9/1/2024 6:12,09/01/2024 12:38,9/1/2024 9:46,-2,,False,False,Airbus A320,N19172,2535
